Feature,Importance
MonthlyCharges,0.1775226524352075
tenure,0.17568076336287528
TotalCharges,0.16915459194404983
Contract,0.08060592204275233
PaymentMethod,0.05260798736003714
OnlineSecurity,0.04627535174311992
TechSupport,0.04386520338677396
InternetService,0.028769985521721726
gender,0.027639452458701936
OnlineBackup,0.027571407951818182
PaperlessBilling,0.023870090273195414
Partner,0.022500217661482663
MultipleLines,0.022356582252649745
DeviceProtection,0.02125726749571206
SeniorCitizen,0.02113381512917702
Dependents,0.019622544505537902
StreamingMovies,0.01757193884065841
StreamingTV,0.016877609279859866
PhoneService,0.005116616354669181
